Temperature_K_,Field_T_,FieldAngle_deg_,CriticalCurrent_A_,CriticalCurrentPerCmWidth_A_cm_,n_value
15,2,220,353.11,882.77,26.94
15,2,215,346.17,865.43,27.22
15,2,210,341.41,853.53,27
15,2,205,339.94,849.84,28.49
15,2,200,339.1,847.75,28.52
15,2,195,340.35,850.88,29.29
15,2,190,342.17,855.43,29.73
15,2,185,342.69,856.72,28.59
15,2,180,343.36,858.39,28.15
15,2,175,342.71,856.77,28.24
15,2,170,341.15,852.89,28.23
14.99,2,165,339.15,847.87,28.04
15,2,160,337.44,843.6,27.29
15,2,155,337.29,843.24,26.69
15,2,150,338.91,847.28,25.79
15.01,2,145,343.21,858.01,25.49
15.02,2,140,350.69,876.73,25.35
15,2,135,362.44,906.11,25.27
15,2,130,378.57,946.42,25.35
15,2,125,400.4,1000.99,25.29
14.99,2,120,430.17,1075.42,24.98
14.99,2,115,474.66,1186.64,25.99
14.99,2,110,538.52,1346.29,26.5
14.99,2,105,643.21,1608.03,29.13
14.99,2,102,739.4,1848.51,31.63
15,2,99,870.33,2175.84,36.95
14.99,2,86,872.78,2181.96,32.88
15,2,84,778.44,1946.11,30.37
14.99,2,81,670.28,1675.7,27.86
14.99,2,78,595.96,1489.9,26.6
14.99,2,75,541.12,1352.81,25.37
15,2,70,478.79,1196.98,24.9
15,2,65,436.29,1090.71,24.8
15.01,2,60,405.19,1012.99,24.28
14.99,2,55,382.74,956.84,24.65
15,2,50,365.97,914.93,24.46
15,2,45,353,882.51,24.41
15.01,2,40,344.1,860.26,24.65
14.99,2,35,338.13,845.32,25.35
15.01,2,30,335.52,838.79,25.77
14.99,2,25,333.65,834.13,26.4
14.99,2,20,334.9,837.24,26.85
15.01,2,15,336.48,841.2,27.69
15.01,2,10,338.98,847.44,28.3
15.01,2,5,340.25,850.62,27.83
15.01,1.5,240,503.68,1259.19,27.93
14.99,1.5,235,473.98,1184.95,27.69
15,1.5,230,451.49,1128.72,27.35
15,1.5,225,434.41,1086.03,27.55
15.01,1.5,220,422.36,1055.9,28.21
15,1.5,215,412.11,1030.28,27.66
15,1.5,210,407.14,1017.84,28.99
15,1.5,205,402.53,1006.34,28.69
15,1.5,200,400.71,1001.78,29.39
15,1.5,195,400.05,1000.12,29.67
15.01,1.5,190,400.56,1001.41,29.45
15,1.5,185,399.72,999.29,28.15
15,1.5,180,401.38,1003.44,28.68
14.99,1.5,175,401.18,1002.96,28.75
14.99,1.5,170,401.24,1003.11,29.05
15,1.5,165,400.25,1000.63,28.75
15,1.5,160,400.07,1000.16,28.02
15.01,1.5,155,400.74,1001.85,27.2
15,1.5,150,405.01,1012.52,27.4
15,1.5,145,411.13,1027.83,26.48
15,1.5,140,422.08,1055.2,27.45
15,1.5,135,435.26,1088.15,26.29
14.99,1.5,130,454.8,1137.01,26.43
14.99,1.5,125,481.59,1203.97,26.77
14.99,1.5,120,517.64,1294.09,26.94
14.99,1.5,115,569.46,1423.66,27.91
14.99,1.5,110,643.55,1608.86,29.02
14.99,1.5,105,757.3,1893.26,31.01
15,1.5,102,853.86,2134.64,34.06
14.99,1.5,99,968.22,2420.55,40.88
14.99,1.5,84,900.65,2251.63,34.91
14.99,1.5,81,793.13,1982.83,31.18
15,1.499,78,709.49,1773.72,29.07
14.99,1.5,75,646.95,1617.37,27.74
15,1.5,70,574.16,1435.4,27.29
15,1.5,65,522.96,1307.4,26.29
14.99,1.5,60,486.65,1216.64,26.39
15.01,1.5,55,459.37,1148.42,26.1
14.99,1.5,50,439.15,1097.87,26.03
15.01,1.5,45,424.23,1060.58,26.24
14.98,1.5,40,412.69,1031.73,26.34
15,1.5,35,404.25,1010.62,26.02
14.98,1.5,30,399.79,999.48,26.89
15.01,1.5,25,396.76,991.91,27.66
15.01,1.5,20,396.92,992.31,27.88
14.99,1.5,15,397.45,993.62,28.36
14.99,1.5,10,399.18,997.94,28.51
15,1.5,5,398.08,995.2,27.76
14.99,1,240,645.74,1614.36,31.7
14.99,1,235,606.72,1516.81,30.95
14.99,1,230,577.58,1443.95,30.96
14.99,1,225,553.88,1384.7,30.28
14.99,1,220,536.92,1342.3,30.52
14.99,1,215,523.38,1308.45,30.39
15,1,210,513.65,1284.13,30.56
14.99,1,205,506.25,1265.63,30.55
14.99,1,200,501.46,1253.66,30.58
14.99,1,195,497.64,1244.09,29.57
14.99,1,190,494.4,1236.01,27.86
14.99,1,185,495.4,1238.49,28.98
14.99,1,180,498.31,1245.77,31.22
14.99,1,175,497.34,1243.34,29.06
14.99,1,170,499.9,1249.75,30.53
14.99,1,165,500.91,1252.27,29.54
14.99,1,160,504.87,1262.18,29.5
15.01,1,155,511.4,1278.49,30.57
15,1,150,517.59,1293.97,29.54
15,1,145,528.03,1320.06,29.82
15,1,140,540.77,1351.91,28.95
15.01,1,135,560.36,1400.9,29.33
14.99,1,130,583.07,1457.66,29.52
14.99,1,125,616.49,1541.22,29.81
15,1,120,661.42,1653.54,30.25
15,1,115,722.95,1807.38,31.41
15,1,110,808.23,2020.58,33.32
15,1,105,918.28,2295.7,36.13
14.99,1,81,958.28,2395.7,36.94
14.99,1,78,881.46,2203.64,34.28
14.99,1,75,814.51,2036.27,32.61
14.99,1,70,726.83,1817.07,30.43
14.99,1,65,665.81,1664.53,30.04
15,1,60,620.35,1550.87,29.37
14.99,1,55,585.64,1464.09,28.89
14.99,1,50,560.72,1401.79,29.13
15,1,45,540.85,1352.13,29.08
14.99,1,40,526.07,1315.17,28.84
14.99,1,35,515.27,1288.18,29.26
14.99,1,30,506.92,1267.3,28.87
14.99,0.999,25,502.47,1256.16,29.52
14.99,1,20,500.12,1250.3,30.07
14.99,1,15,495.82,1239.55,27.87
14.99,1,10,497.61,1244.02,29.65
14.99,1,5,495.42,1238.55,29.15
14.99,0.7,240,791.55,1978.88,34.56
14.99,0.7,235,744.36,1860.89,33.05
14.99,0.7,230,708.16,1770.4,33
14.99,0.7,225,679.96,1699.91,33.1
14.99,0.7,220,656.38,1640.95,32.09
14.99,0.7,215,639.26,1598.15,32.32
14.99,0.7,210,625.75,1564.39,32.38
14.99,0.7,205,614.45,1536.12,31.69
14.99,0.7,200,606.24,1515.6,30.96
14.99,0.7,195,601.54,1503.84,31.3
14.99,0.7,190,598.51,1496.27,31.45
14.99,0.7,185,594.52,1486.31,29.28
14.99,0.7,180,594.99,1487.48,29.54
14.99,0.7,175,598.27,1495.69,31.08
14.99,0.7,170,600.46,1501.16,30.7
14.99,0.7,165,603.6,1509,29.62
14.99,0.7,160,610.77,1526.92,31.19
14.99,0.7,155,617.92,1544.8,30.17
14.99,0.7,150,630.14,1575.34,31.39
14.99,0.7,145,643.57,1608.92,30.97
14.99,0.7,140,662.77,1656.92,31.62
14.99,0.7,135,685.96,1714.91,30.95
15,0.7,130,715.66,1789.16,30.68
15,0.7,125,756.21,1890.53,31.75
15,0.7,120,805.73,2014.33,31.27
15,0.7,115,871.01,2177.51,32.55
15,0.7,110,953.68,2384.19,35.38
15,0.7,75,966.3,2415.75,37.74
15,0.7,70,883.46,2208.66,36.54
15,0.7,65,813.34,2033.36,33.94
14.99,0.7,60,758.95,1897.37,31.66
14.99,0.7,55,718.68,1796.69,31.83
14.99,0.7,50,687.83,1719.56,31.62
14.99,0.7,45,663.09,1657.71,31.47
14.99,0.7,40,644.51,1611.28,31.72
