Temperature_K_,Field_T_,FieldAngle_deg_,CriticalCurrent_A_,CriticalCurrentPerCmWidth_A_cm_,n_value
40.02,0.07,102,661.59,1653.98,24.55
39.99,0.07,99,662.83,1657.07,24.8
40.01,0.07,96,663.4,1658.49,24.64
40.01,0.07,94,663.24,1658.1,24.55
40,0.07,92,663.21,1658.01,24.54
40,0.07,90,663.77,1659.41,24.65
39.99,0.07,88,663.54,1658.84,24.74
40.01,0.07,86,662.47,1656.17,24.36
40,0.07,84,662.08,1655.2,24.52
40,0.07,81,660.65,1651.62,24.39
40.01,0.07,78,658.95,1647.37,24.42
39.99,0.07,75,656.95,1642.38,24.22
40.01,0.07,70,653.24,1633.1,24.1
40.01,0.07,65,648.39,1620.96,23.72
40,0.07,60,643.35,1608.38,23.89
40,0.07,55,639.05,1597.63,23.75
40,0.07,50,633.89,1584.73,23.64
39.99,0.07,45,629.07,1572.69,23.5
40.01,0.07,40,625.41,1563.52,23.66
40,0.07,35,620.49,1551.22,23.15
40,0.07,30,617.89,1544.73,23.28
40.01,0.07,25,617.46,1543.66,23.79
39.99,0.07,20,615.39,1538.46,23.68
39.99,0.07,15,613.75,1534.37,23.34
39.98,0.07,10,613.03,1532.56,23.06
39.99,0.07,5,613.61,1534.02,22.92
40,0.05,240,657.38,1643.44,23.79
40.01,0.05,235,654.51,1636.28,23.93
40,0.05,230,652.71,1631.78,24.05
40,0.05,225,650.69,1626.72,24.24
40,0.05,220,647.52,1618.79,23.85
39.99,0.05,215,643.52,1608.8,23.04
40.02,0.05,210,644.21,1610.54,24.33
40,0.05,205,642.43,1606.07,24.17
40,0.05,200,639.63,1599.08,23.62
40.01,0.05,195,638.47,1596.19,23.81
40.01,0.05,190,640.32,1600.81,24.69
40,0.05,185,637.71,1594.28,23.93
40,0.05,180,637.69,1594.21,23.94
40.01,0.05,175,639.65,1599.12,24.43
40,0.05,170,639.97,1599.91,24.29
39.99,0.05,165,640,1600.01,23.79
40.01,0.05,160,641.15,1602.88,24.06
40,0.05,155,642.78,1606.95,23.79
40,0.05,150,646.49,1616.22,24.55
40.01,0.05,145,649.93,1624.83,25.33
39.99,0.05,140,649.91,1624.78,24.38
40.02,0.05,135,652.37,1630.93,24.73
40.02,0.05,130,655.76,1639.4,24.97
40.01,0.05,125,658.32,1645.79,25.12
39.99,0.05,120,660.77,1651.93,25.09
40,0.05,115,662.07,1655.18,24.71
40,0.05,110,664.93,1662.33,24.89
40.01,0.05,105,666.93,1667.33,25.13
40.01,0.05,102,668.43,1671.09,25.44
40.01,0.05,99,668.36,1670.91,25.18
40.01,0.05,96,669.01,1672.52,25.33
40,0.05,94,669.48,1673.7,25.41
40,0.05,92,669.33,1673.32,25.28
40,0.05,90,668.35,1670.88,24.86
40.01,0.05,88,668.99,1672.47,25.16
40.01,0.05,86,668.97,1672.43,25.22
40,0.05,84,668.88,1672.21,25.33
40.01,0.05,81,667.89,1669.72,25.23
40,0.05,78,667.49,1668.72,25.26
40,0.05,75,666.02,1665.06,25.12
39.99,0.05,70,662.87,1657.17,24.67
39.99,0.05,65,660.73,1651.84,24.84
39.98,0.05,60,658.6,1646.5,25.05
39.98,0.05,55,654.65,1636.63,24.59
40,0.05,50,652.37,1630.91,24.77
40,0.05,45,648.52,1621.3,24.42
40.01,0.05,40,645.66,1614.15,24.3
40,0.05,35,643.54,1608.85,24.38
39.98,0.05,30,642.45,1606.12,24.71
40,0.05,25,640.63,1601.57,24.41
39.99,0.05,20,639.6,1598.99,24.13
39.98,0.05,15,639.05,1597.63,24.04
40,0.05,10,639.47,1598.67,24.32
40,0.05,5,639.42,1598.56,24.05
40.01,0.03,240,667.39,1668.49,25.02
40.01,0.03,235,667,1667.51,25.19
40.01,0.03,230,664.16,1660.4,24.67
40.01,0.03,225,663.56,1658.89,24.84
40.01,0.03,220,663.44,1658.59,25.28
40.01,0.03,215,660.82,1652.05,24.17
40.01,0.03,210,661.18,1652.94,24.64
39.98,0.03,205,659.73,1649.31,24.55
40,0.03,200,660.34,1650.86,25.16
40.01,0.03,195,659.55,1648.87,25.21
40.01,0.03,190,661.77,1654.43,26.16
40.01,0.03,185,654.9,1637.24,23.51
40,0.03,180,658.43,1646.07,24.68
40.01,0.03,175,657.72,1644.31,24.65
40.01,0.03,170,660.35,1650.86,25.62
40.01,0.03,165,657.62,1644.05,24.09
40,0.03,160,660.44,1651.1,25.24
40.01,0.03,155,662.38,1655.94,25.5
40.01,0.03,150,661.34,1653.35,25.29
40.01,0.03,145,661.22,1653.04,24.58
39.99,0.03,140,665.55,1663.89,26.1
39.99,0.03,135,664.62,1661.56,25.29
40,0.03,130,666.79,1666.98,25.48
40.01,0.03,125,665.5,1663.75,24.6
40,0.03,120,668.31,1670.77,25.41
40,0.03,115,668.84,1672.09,25.38
40,0.03,110,668.95,1672.37,24.92
40,0.03,105,671,1677.49,25.35
40.01,0.03,102,672.26,1680.65,25.73
40.01,0.03,99,671.54,1678.86,25.29
40,0.03,96,672.26,1680.66,25.53
40.01,0.03,94,672.47,1681.16,25.45
40.01,0.03,92,672.14,1680.34,25.48
40,0.03,90,672.04,1680.11,25.32
40.01,0.03,88,672.45,1681.12,25.35
40,0.03,86,672.41,1681.03,25.43
40,0.03,84,671.8,1679.49,25.35
40,0.03,81,671.76,1679.4,25.37
40.01,0.03,78,671.58,1678.96,25.24
39.99,0.03,75,671.19,1677.98,25.44
40,0.03,70,670.88,1677.2,25.69
39.99,0.03,65,669.67,1674.17,25.5
40,0.03,60,667.48,1668.7,25.1
40,0.03,55,666.43,1666.08,25.36
40,0.03,50,665.26,1663.16,25.45
39.99,0.03,45,663.84,1659.59,25.34
40.01,0.03,40,662.21,1655.52,25.22
40.02,0.03,35,661.66,1654.15,25.38
40,0.03,30,660.75,1651.87,25.29
39.98,0.03,25,658.99,1647.46,24.91
39.99,0.03,20,659.62,1649.05,25.34
40.01,0.03,15,660.27,1650.67,25.57
40,0.03,10,660.53,1651.33,25.54
39.99,0.03,5,661.43,1653.57,25.46
40.02,0.02,240,669.96,1674.9,25.05
39.99,0.02,235,670.46,1676.14,25.33
40.01,0.02,230,668.84,1672.1,25.3
40,0.02,225,668.84,1672.09,25.13
40,0.02,220,667.13,1667.82,24.81
40,0.02,215,668.05,1670.12,25.07
40,0.02,210,665.27,1663.18,24.24
40.01,0.02,205,667.21,1668.01,25.33
40.01,0.02,200,666.72,1666.81,25.1
40.01,0.02,195,666.21,1665.53,25.25
40.01,0.02,190,666.57,1666.43,25.49
40.01,0.02,185,665.59,1663.96,24.89
40.01,0.02,180,667.01,1667.52,25.77
39.99,0.02,175,664.95,1662.38,25.12
40.01,0.02,170,666.45,1666.13,25.42
39.99,0.02,165,666.19,1665.47,25.3
39.99,0.02,160,664.89,1662.22,24.58
40,0.02,155,667.39,1668.47,25.62
40,0.02,150,666.76,1666.91,25.09
40,0.02,145,667.44,1668.59,25.31
40.01,0.02,140,668.73,1671.82,25.64
39.99,0.02,135,667.6,1669,25.12
40.01,0.02,130,669.42,1673.56,25.68
40,0.02,125,669.63,1674.08,25.32
40.01,0.02,120,670.87,1677.19,25.67
40,0.02,115,671.71,1679.28,25.5
39.99,0.02,110,671.96,1679.89,25.48
40.02,0.02,105,672.63,1681.58,25.48
39.99,0.02,102,672.32,1680.81,25.38
40.01,0.02,99,672.89,1682.22,25.41
40.01,0.02,96,673.62,1684.05,25.61
40.01,0.02,94,674.02,1685.05,25.71
40.01,0.02,92,673.35,1683.37,25.61
40.01,0.02,90,673.53,1683.84,25.49
40.01,0.02,88,673.23,1683.08,25.35
40.01,0.02,86,673.44,1683.61,25.54
40.01,0.02,84,673.54,1683.85,25.51
40.01,0.02,81,673.56,1683.9,25.62
40,0.02,78,672.82,1682.06,25.33
39.98,0.02,75,673.06,1682.65,25.63
40,0.02,70,673.35,1683.37,25.64
40,0.02,65,672.43,1681.07,25.62
39.99,0.02,60,671.26,1678.16,25.43
40.01,0.02,55,670.92,1677.29,25.52
40,0.02,50,669.73,1674.32,25.63
39.99,0.02,45,669.13,1672.82,25.61
40,0.02,40,669.34,1673.35,26
40,0.02,35,665.95,1664.89,25.02
40,0.02,30,667.55,1668.88,25.73
40.01,0.02,25,666.36,1665.89,25.44
40,0.02,20,668.17,1670.43,26.14
40,0.02,15,667.57,1668.92,25.54
40,0.02,10,666.32,1665.79,25.32
40.01,0.02,5,667.36,1668.4,25.43
40.01,0.015,240,670.74,1676.85,24.89
40.01,0.015,235,671.16,1677.89,25.17
40.02,0.015,230,670.81,1677.02,25.3
40.01,0.015,225,669.82,1674.55,25.05
40,0.015,220,670.12,1675.3,25.42
40.01,0.015,215,670.42,1676.04,25.38
40.01,0.015,210,670.31,1675.77,25.6
40.01,0.015,205,669.12,1672.8,25.31
40.01,0.015,200,666,1665.01,24.13
40,0.015,195,669.13,1672.82,25.57
40.01,0.015,190,669.53,1673.84,25.9
39.98,0.015,185,667.16,1667.89,24.89
40.01,0.015,180,666.71,1666.78,24.87
39.98,0.015,175,668.82,1672.04,25.52
39.99,0.015,170,668.41,1671.02,25.32
39.99,0.015,165,669.55,1673.88,25.77
40,0.015,160,668.53,1671.33,25.37
40,0.015,155,666.76,1666.9,24.47
39.98,0.015,150,669.48,1673.7,25.52
40.01,0.015,145,668.37,1670.92,25.01
39.99,0.015,140,669.71,1674.27,25.49
39.99,0.015,135,670.2,1675.51,25.28
40.01,0.015,130,670.53,1676.32,25.44
40.02,0.015,125,671.77,1679.43,25.7
40.01,0.015,120,670.95,1677.38,25.31
40.01,0.015,115,672.2,1680.51,25.61
40,0.015,110,671.77,1679.43,25.36
40,0.015,105,671.93,1679.83,25.24
40,0.015,102,673.8,1684.49,25.78
40.01,0.015,99,674.69,1686.72,26.26
40,0.015,96,673.08,1682.7,25.38
39.99,0.015,94,673.39,1683.49,25.52
40,0.015,92,673.67,1684.16,25.45
40,0.015,90,673.69,1684.23,25.47
40,0.015,88,673.32,1683.3,25.4
40,0.015,86,673.74,1684.34,25.56
40,0.015,84,673.94,1684.85,25.51
40.01,0.015,81,673.84,1684.6,25.67
40,0.015,78,674.28,1685.69,25.91
40,0.015,75,673.8,1684.51,25.66
39.99,0.015,70,673.13,1682.83,25.56
40.01,0.015,65,673.94,1684.85,25.94
40,0.015,60,672.25,1680.63,25.39
39.99,0.015,55,671.35,1678.37,25.37
40,0.015,50,672.19,1680.48,26.13
40,0.015,45,670.35,1675.88,25.33
39.99,0.015,40,670.36,1675.9,25.52
40.01,0.015,35,668.07,1670.18,24.82
39.99,0.015,30,670.74,1676.85,26.09
39.98,0.015,25,668.76,1671.9,25.1
39.99,0.015,20,669.5,1673.74,25.39
39.99,0.015,15,668.04,1670.1,24.87
40,0.015,10,669.13,1672.82,25.3
39.98,0.015,5,669.39,1673.47,25.38
40,0.01,240,673.01,1682.53,25.64
40.01,0.01,235,671.98,1679.94,25.36
40.01,0.01,230,671.79,1679.48,25.19
40,0.01,225,672.25,1680.62,25.57
40,0.01,220,671.78,1679.46,25.67
40.01,0.01,215,669.41,1673.52,24.66
40.01,0.01,210,670.22,1675.56,24.71
40,0.01,205,670.3,1675.74,25.12
39.99,0.01,200,669.37,1673.43,24.82
39.98,0.01,195,670.35,1675.87,25.22
40.02,0.01,190,670.46,1676.15,25.22
40.01,0.01,185,670.95,1677.38,25.85
40.02,0.01,180,670.77,1676.93,25.56
40.01,0.01,175,668.74,1671.86,24.72
40,0.01,170,670.87,1677.18,25.53
40.01,0.01,165,668.6,1671.5,24.53
40.01,0.01,160,670.72,1676.8,25.47
40,0.01,155,672.07,1680.18,26.25
40.01,0.01,150,671.86,1679.65,25.63
40.01,0.01,145,672.66,1681.66,26.12
40.01,0.01,140,671.05,1677.63,25.33
40.01,0.01,135,671.27,1678.17,25.62
40.01,0.01,130,672.09,1680.23,25.96
39.99,0.01,125,670.9,1677.26,25.38
39.98,0.01,120,672.04,1680.1,25.45
40.01,0.01,115,672.35,1680.86,25.42
40,0.01,110,671.54,1678.85,25.02
39.98,0.01,105,672.9,1682.25,25.39
39.99,0.01,102,673.12,1682.79,25.39
40,0.01,99,673.66,1684.15,25.48
40.01,0.01,96,673.81,1684.53,25.57
40.01,0.01,94,674.05,1685.13,25.66
40,0.01,92,674.51,1686.26,25.92
40.02,0.01,90,674.3,1685.76,25.68
39.99,0.01,88,674.29,1685.73,25.66
40.01,0.01,86,674.09,1685.21,25.57
40,0.01,84,674.78,1686.95,25.59
40.01,0.01,81,674.72,1686.81,25.78
40,0.01,78,674.13,1685.34,25.65
40.01,0.01,75,673.72,1684.3,25.33
40.01,0.01,70,674.17,1685.42,25.74
40.01,0.01,65,673.98,1684.95,25.65
40,0.01,60,673.85,1684.63,25.77
40.01,0.01,55,672.38,1680.95,25.35
40,0.01,50,672.2,1680.5,25.51
39.98,0.01,45,672.91,1682.29,25.74
40.01,0.01,40,673.45,1683.62,26.21
40,0.01,35,671.71,1679.29,25.4
39.99,0.01,30,673.67,1684.18,26.81
40,0.01,25,671.7,1679.25,25.56
39.99,0.01,20,672.43,1681.08,25.9
40,0.01,15,671.86,1679.66,25.77
39.99,0.01,10,671.98,1679.94,25.65
39.99,0.01,5,671.71,1679.26,25.52
39.98,-0.001,110,672.94,1682.34,25.35
45,7,240,56,140,19.41
45,7,235,55.66,139.15,20.55
45,7,230,55.25,138.12,21.16
45,7,225,54.75,136.89,20.64
45.01,7,220,54.36,135.9,19.95
45,7,215,54.21,135.52,19.58
45.01,7,210,54.36,135.89,19.49
45,7,205,54.85,137.13,19.75
45.01,7,200,55.47,138.67,18.96
45,7,195,56.59,141.48,18.47
44.99,7,190,58.06,145.15,17.73
45,7,185,59.77,149.42,17.25
45.02,7,180,60.62,151.55,17.34
45,7,175,59.59,148.97,17.17
45,7,170,58.18,145.45,17.8
45.01,7,165,56.7,141.75,18.21
45,7,160,55.39,138.49,18.37
45.01,7,155,54.5,136.26,19.02
45,7,150,53.87,134.67,19.51
45,7,145,53.51,133.77,19.7
45,7,140,53.3,133.26,19.67
45,7,135,53.47,133.67,20.12
45.01,7,130,53.8,134.5,20.52
45,7,125,54.26,135.66,20.69
45,7,120,54.84,137.09,20.06
44.99,7,115,55.43,138.58,18.94
45,7,110,56.38,140.94,17.99
44.99,7,105,57.52,143.8,16.54
45.01,7,102,58.99,147.49,15.59
45,7,99,61.99,154.97,12.29
45.01,7,96,77.84,194.61,8.43
44.99,7,94,141.35,353.38,9.03
45,7,92,185.75,464.36,8.81
45,7,90,88.72,221.79,8.5
45,7,88,69.06,172.65,10.56
45,7,86,63.22,158.04,12.23
45.01,7,84,62,155.01,15.14
45.01,7,81,60.18,150.45,16.33
45,7,78,59.15,147.89,17.09
45,7,75,58.72,146.81,18.56
45,7,70,57.22,143.05,18.17
44.99,7,65,56.36,140.89,18.93
45,7,60,55.63,139.08,19.49
45,7,55,54.81,137.01,19.18
45,7,50,54.34,135.84,19.41
45.01,7,45,53.86,134.64,19.19
44.99,7,40,53.44,133.59,18.6
45.01,7,35,53.35,133.39,18.36
45,7,30,53.45,133.64,18.08
45.01,7,25,53.99,134.97,17.93
45,7,20,54.76,136.9,17.61
44.99,7,15,55.94,139.85,17.02
45,7,10,57.86,144.65,17.16
45,7,5,59.81,149.52,17.14
45,5,240,66.39,165.97,19.81
45,5,235,65.6,164.01,19.97
45,5,230,65.05,162.63,20.11
45,5,225,64.89,162.23,20.46
45.01,5,220,64.85,162.13,20.28
45,5,215,65.19,162.96,20.43
45,5,210,65.71,164.28,20.56
45,5,205,66.62,166.55,20.35
45,5,200,67.67,169.18,19.27
44.99,5,195,69.74,174.36,19.38
45,5,190,72.29,180.72,19.79
45.01,5,185,74.75,186.86,19.64
45.01,5,180,75.65,189.14,19.39
44.99,5,175,74.22,185.54,19.28
45,5,170,72.03,180.08,19.58
45,5,165,69.45,173.63,19.3
45,5,160,67.45,168.62,19.74
45,5,155,65.7,164.25,19.81
45,5,150,64.45,161.14,20.17
44.99,5,145,63.67,159.18,20.53
45,5,140,63.06,157.64,20.09
45,5,135,62.94,157.35,19.9
45,5,130,63.32,158.31,20.39
44.99,5,125,64,160,20.52
45.01,5,120,64.82,162.06,19.68
45,5,115,66.05,165.13,18.81
45,5,110,67.73,169.34,17.33
45.01,5,105,69.93,174.82,15.44
45.01,5,102,71.76,179.41,13.26
45,5,99,77.09,192.73,10.87
45,5,96,99.79,249.48,8.34
44.99,5,94,164.76,411.89,8.83
45.01,5,92,215.17,537.93,8.92
45,5,90,115.46,288.66,8.27
45.01,5,88,87.24,218.11,9.32
45,5,86,78.84,197.1,11.23
45,5,84,75.58,188.96,13.12
45,5,81,72.86,182.16,14.99
45,5,78,71.14,177.85,15.99
45,5,75,70.07,175.16,17.42
45,5,70,68.13,170.31,18.02
45,5,65,66.59,166.47,18.41
45,5,60,65.65,164.12,19.24
45,5,55,64.84,162.1,19.63
45,5,50,64.17,160.42,19.43
45,5,45,63.93,159.84,19.79
45.01,5,40,63.9,159.74,19.76
44.99,5,35,64.18,160.44,19.98
45,5,30,64.65,161.62,19.35
45,5,25,65.73,164.32,19.26
45,5,20,67.15,167.87,18.85
44.99,5,15,69.3,173.26,18.99
45,5,10,72.02,180.04,19.13
45,5,5,74.76,186.9,19.52
44.99,3,240,86.71,216.77,18.48
45,3,235,85.53,213.82,19.17
45,3,230,84.97,212.44,19.89
45,3,225,84.7,211.75,20.06
45,3,220,84.72,211.8,20.05
45,3,215,85.28,213.2,19.86
45.01,3,210,86.51,216.27,20.38
45,3,205,88.12,220.31,20.47
45.01,3,200,90.35,225.86,20.74
45,3,195,93.14,232.84,20.64
45.01,3,190,96.48,241.21,20.91
44.99,3,185,99.61,249.03,21.4
45,3,180,100.62,251.56,21.14
45,3,175,98.98,247.44,21.15
45,3,170,95.61,239.03,20.43
45,3,165,92.58,231.45,21.21
45,3,160,89.14,222.84,20.29
45.01,3,155,86.56,216.4,20.4
45,3,150,84.7,211.74,20.53
45,3,145,83.25,208.13,20.47
45,3,140,82.21,205.53,19.72
45,3,135,81.87,204.67,19.08
45,3,130,82.61,206.52,19.53
45,3,125,83.44,208.6,18.5
45,3,120,85.02,212.55,17.69
45,3,115,87.63,219.07,16.86
45,3,110,91.01,227.52,15.25
45.01,3,105,96.02,240.05,13.52
45,3,102,100.99,252.48,11.83
45,3,99,111.82,279.54,10.06
45,3,96,146.25,365.63,8.73
44.99,3,94,215.91,539.77,9.65
45,3,92,259.77,649.44,10.53
45,3,90,169.77,424.42,8.55
45,3,88,128.87,322.17,9.17
45,3,86,112.9,282.25,10.22
45,3,84,105.69,264.22,11.66
45,3,81,99.87,249.66,13.4
45,3,78,95.94,239.84,14.33
45,3,75,93.45,233.63,15.54
45,3,70,89.96,224.89,16.85
45,3,65,87.56,218.9,18.09
45,3,60,85.51,213.78,18.41
44.99,3,55,84.39,210.98,19.25
44.99,3,50,83.29,208.21,19.02
45.01,3,45,83.19,207.97,19.82
44.99,3,40,83.35,208.37,20.24
45.01,3,35,83.48,208.69,19.13
45,3,30,85.07,212.67,20.38
45,3,25,86.84,217.1,20.42
45,3,20,89.09,222.72,20.02
44.99,3,15,92.45,231.12,20.84
45,3,10,96.07,240.19,20.97
44.99,3,5,99.7,249.25,21.8
44.99,2,240,109.01,272.53,17.17
45,2,235,107.45,268.63,18
45,2,230,106.5,266.25,18.73
45.01,2,225,105.92,264.8,18.89
45.01,2,220,106.03,265.07,19.11
45,2,215,106.79,266.99,19.52
45,2,210,108.38,270.95,19.91
45.01,2,205,110.81,277.01,21.05
45,2,200,113.07,282.68,20.48
44.99,2,195,116.64,291.6,21.36
45,2,190,120.44,301.09,22.03
45,2,185,123.74,309.34,22.21
45,2,180,124.97,312.43,22.52
45,2,175,122.95,307.38,21.57
45,2,170,119.72,299.3,21.68
45,2,165,115.73,289.32,20.84
45,2,160,112.01,280.03,20.49
45.01,2,155,108.76,271.9,20.02
45,2,150,106.29,265.73,19.9
45,2,145,104.3,260.76,19.23
45,2,140,103.38,258.44,18.91
45,2,135,102.99,257.48,18.13
44.99,2,130,104.01,260.03,18.19
45,2,125,105.56,263.89,17.61
44.99,2,120,107.92,269.81,16.35
45,2,115,111.89,279.72,15.61
45,2,110,117.6,293.99,14.46
45,2,105,126.05,315.14,12.87
44.99,2,102,134.39,335.96,11.41
45,2,99,150.48,376.19,9.73
44.99,2,96,195.95,489.88,9.24
44.99,2,94,260.93,652.33,10.63
44.99,2,92,292.48,731.21,11.65
44.99,2,90,223.89,559.73,9.24
45,2,88,174.95,437.37,9.5
45,2,86,151.67,379.18,10.18
44.99,2,84,140.18,350.46,11.32
45,2,81,129.71,324.27,12.43
45.01,2,78,123.83,309.57,13.65
45,2,75,119.66,299.16,14.88
45,2,70,114.09,285.22,16.16
45,2,65,110.26,275.66,17.01
45,2,60,107.29,268.23,17.44
45,2,55,105.36,263.41,17.99
45,2,50,104.3,260.76,18.57
45,2,45,103.66,259.16,18.76
45,2,40,103.95,259.88,19.17
45,2,35,104.8,262,19.54
45,2,30,106.26,265.65,19.66
45,2,25,108.38,270.94,19.77
44.99,2,20,111.57,278.94,20.46
45,2,15,115.5,288.76,20.74
44.99,2,10,119.57,298.93,21.39
45.01,2,5,123.12,307.8,21.77
44.99,1.5,240,129.17,322.91,16.71
45,1.5,235,126.74,316.86,17.31
45,1.5,230,125.24,313.09,17.66
45,1.5,225,124.96,312.4,18.66
45,1.5,220,125.01,312.53,19.02
45,1.5,215,125.87,314.67,19.54
45,1.5,210,127.35,318.37,19.81
45,1.5,205,129.93,324.84,20.72
45.01,1.5,200,132.47,331.19,20.5
45,1.5,195,136.16,340.39,21.15
45,1.5,190,140.23,350.57,21.98
44.99,1.5,185,143.51,358.78,22.44
45.01,1.5,180,144.33,360.82,21.66
45,1.5,175,143.43,358.57,22.65
45,1.5,170,139.92,349.79,21.82
45,1.5,165,135.88,339.71,21.07
45,1.5,160,132.07,330.18,20.95
45.01,1.5,155,128.4,321,20.08
45,1.5,150,125.56,313.91,19.57
45,1.5,145,123.97,309.93,19.73
45.01,1.5,140,122.76,306.91,18.92
45,1.5,135,122.58,306.45,18.3
45.01,1.5,130,123.69,309.24,17.85
44.99,1.5,125,125.22,313.04,16.54
45,1.5,120,128.76,321.91,15.95
45,1.5,115,133.64,334.09,15.02
44.99,1.5,110,141.39,353.47,14.12
45,1.5,105,152.8,382,12.49
45,1.5,102,163.93,409.82,11.14
45,1.5,99,185.56,463.91,10
44.99,1.5,96,236.28,590.69,9.85
44.99,1.5,94,293.4,733.5,11.61
45,1.5,92,314.73,786.82,12.17
45,1.5,90,266.31,665.78,10.45
45,1.5,88,213.07,532.69,9.55
45,1.5,86,185.84,464.6,10.28
44.99,1.5,84,170.55,426.37,11.2
45,1.5,81,156.94,392.36,12.41
45,1.5,78,148.16,370.4,13.12
45,1.5,75,142.93,357.33,14.47
45,1.5,70,135.64,339.1,15.61
45,1.5,65,130.4,326.01,16.18
44.99,1.5,60,127.12,317.8,17.4
44.99,1.5,55,124.33,310.81,17.57
45,1.5,50,122.9,307.24,18.23
45,1.5,45,122.47,306.17,18.78
45.01,1.5,40,122.04,305.1,18.44
45,1.5,35,123.43,308.57,19.44
45,1.5,30,125.33,313.34,19.84
44.99,1.5,25,127.9,319.75,20.15
45,1.5,20,131.33,328.31,20.83
44.99,1.5,15,135.59,338.97,21.69
44.99,1.5,10,139.66,349.16,21.76
45,1.5,5,143.2,358,22.4
44.99,1,240,163.13,407.83,15.49
45,1,235,160.74,401.85,16.84
45,1,230,158.68,396.7,17.65
44.99,1,225,157.27,393.18,17.86
45.01,1,220,157.07,392.68,18.31
45,1,215,157.69,394.22,18.78
45,1,210,159.4,398.5,19.4
45,1,205,161.46,403.66,19.66
45.01,1,200,165.54,413.84,21.72
45,1,195,168.85,422.13,21.74
45,1,190,172.66,431.65,22.31
44.99,1,185,175.09,437.71,21.76
45.01,1,180,176.11,440.27,21.46
45,1,175,175.64,439.09,21.93
45,1,170,172.74,431.84,21.47
45,1,165,168.87,422.17,20.76
45,1,160,164.94,412.35,20.1
45.01,1,155,161.34,403.36,19.56
45,1,150,158.34,395.84,18.73
45,1,145,157.16,392.9,19.19
44.99,1,140,156.14,390.35,18.36
45,1,135,156.01,390.02,17.21
45,1,130,157.72,394.29,16.85
45,1,125,160.57,401.44,16.05
44.99,1,120,165.47,413.67,15.62
44.99,1,115,172.46,431.16,14.59
44.99,1,110,182.66,456.65,13.52
45.01,1,105,200.38,500.94,12.54
45,1,102,216.31,540.78,11.44
44.99,1,99,245.74,614.36,10.87
44.99,1,96,298.06,745.16,11.57
45,1,94,334.87,837.17,12.61
45,1,92,348.96,872.41,13.83
45,1,90,320.04,800.11,12.13
44.99,1,88,277.62,694.05,10.99
45,1,86,244.14,610.36,10.77
45,1,84,222.74,556.86,11.25
45,1,81,203.36,508.39,12.24
44.99,1,78,191.21,478.02,12.99
44.99,1,75,183.33,458.32,14.02
45,1,70,172.2,430.5,14.58
44.99,1,65,165.68,414.19,15.74
45,1,60,160.23,400.58,15.95
45,1,55,157.45,393.62,16.99
45.01,1,50,155.56,388.9,17.85
45,1,45,154.23,385.58,17.89
45,1,40,153.96,384.89,18.09
45,1,35,155.42,388.54,18.94
45,1,30,157.52,393.8,19.85
45.01,1,25,160.28,400.71,20.17
44.99,1,20,163.51,408.77,20.12
44.99,1,15,167.77,419.43,20.85
45,1,10,172.8,432,22.41
45,1,5,175.39,438.48,22
44.99,0.7,240,203.3,508.24,15.36
44.99,0.7,235,198.78,496.95,16.3
45,0.7,230,195.21,488.03,16.78
45,0.7,225,193.99,484.96,18.05
45,0.7,220,193.66,484.15,18.91
45,0.7,215,192.6,481.49,18.3
45,0.7,210,194.46,486.15,19.38
44.99,0.7,205,197.02,492.55,20.52
45.01,0.7,200,199.48,498.69,20.67
45,0.7,195,202.63,506.58,20.87
45,0.7,190,205.66,514.14,21.24
45,0.7,185,207.96,519.91,20.95
45,0.7,180,210.17,525.42,21.84
44.99,0.7,175,209.56,523.9,21.34
45,0.7,170,207.99,519.97,21.46
45,0.7,165,203.58,508.96,19.78
45,0.7,160,200.65,501.64,19.6
45.01,0.7,155,198.03,495.08,19.4
44.99,0.7,150,194.72,486.81,18.32
45,0.7,145,193.85,484.63,18.26
45,0.7,140,193,482.5,17.26
45,0.7,135,194.19,485.46,16.86
45,0.7,130,196.93,492.33,16.46
45,0.7,125,201.26,503.16,16.07
45,0.7,120,206.9,517.24,15
44.99,0.7,115,214.82,537.04,13.68
44.99,0.7,110,230.77,576.93,13.63
45,0.7,105,252.56,631.4,12.53
45,0.7,102,276.08,690.2,12.51
44.99,0.7,99,307.63,769.07,12.19
45,0.7,96,348.47,871.18,13.07
44.99,0.7,94,370.43,926.07,14.04
44.99,0.7,92,375.61,939.04,14.07
44.99,0.7,90,362.13,905.34,13.38
44.99,0.7,88,335.4,838.51,12.59
44.99,0.7,86,306.84,767.1,12.14
44.99,0.7,84,281.02,702.56,11.67
45,0.7,81,257.03,642.58,12.48
45,0.7,78,239.76,599.41,12.97
44.99,0.7,75,228.85,572.13,13.78
45,0.7,70,214.77,536.91,14.47
45,0.7,65,205.48,513.7,15.15
45,0.7,60,199.58,498.96,16.24
45.01,0.7,55,194.71,486.78,16.58
45,0.7,50,191.8,479.5,17.15
45.01,0.7,45,190.11,475.26,17.58
44.99,0.7,40,190.25,475.63,18.52
44.99,0.7,35,190.9,477.25,19.07
45,0.7,30,191.77,479.44,18.64
44.99,0.7,25,195.02,487.56,19.77
45,0.7,20,198.13,495.33,20.01
45,0.7,15,202.21,505.53,20.55
44.99,0.7,10,206.28,515.7,21.62
45,0.7,5,208.4,520.99,21.12
44.99,0.5,240,249.63,624.09,15.4
44.98,0.5,235,243.16,607.91,16.2
45,0.5,230,238.13,595.33,16.58
